"Robusta","Arabica"
0.6968643,0.9409
0.6887074,0.9469
0.6887074,0.9281
0.6845187,0.9303
0.6906915,0.92
0.6968643,0.9123
0.6906915,0.916
0.6988484,0.9292
0.7028166,0.9226
0.7067849,0.9237
0.7089895,0.9116
0.6968643,0.9006
0.6765823,0.9145
0.6765823,0.9167
0.6684254,0.9105
0.6644572,0.9017
0.6622526,0.8929
0.6664412,0.8891
0.6684254,0.8929
0.6684254,0.8935
0.6723936,0.8891
0.6723936,0.8852
0.6704095,0.883
0.6664412,0.8774
0.6684254,0.8774
0.6684254,0.877
0.6704095,0.8609
0.6743777,0.8466
0.6723936,0.8256
0.6723936,0.8047
0.6765823,0.8131
0.6845187,0.819
0.6946597,0.8256
0.6946597,0.8109
0.6926757,0.8124
0.7169259,0.8179
0.6521116,0.8267
0.6137521,0.8031
0.6157362,0.8109
0.6157362,0.808
0.6117679,0.797
0.6117679,0.7992
0.6157362,0.8064
0.6117679,0.8047
0.6238931,0.802
0.6258772,0.8042
0.6318295,0.8069
0.6521116,0.7998
0.7008326,0.9259
0.7211145,0.9414
0.7797561,1.0351
0.8161315,1.0042
0.8284771,1.0203
0.8465545,1.0053
0.8183361,1.0214
0.8183361,1.049
0.7898972,1.0373
0.7738038,1.0379
0.787913,1.034
0.7636628,1.0053
0.6283022,1.0119
0.6371205,1.0384
0.5798017,0.9899
0.5469536,0.9744
0.4872098,0.9612
0.6130906,0.9811
0.7162645,0.9811
0.7949677,1.0009
0.7775516,0.9987
0.8073132,1.0097
0.7568286,1.0251
0.7936449,1.0318
0.8015813,1.0119
0.7577103,0.9722
0.7438216,0.9546
0.7605763,0.9546
0.7652059,0.9458
0.7409557,0.9237
0.729051,0.9171
0.7189101,0.9171
0.6995097,0.8995
0.7171464,0.8885
0.7200123,0.8869
0.7151622,0.8728
0.7056826,0.8501
0.7286101,0.8441
0.7257441,0.8228
0.7471284,0.8508
0.7702765,0.8891
0.7824016,0.9092
0.7407352,0.9026
0.7175872,0.8761
0.7239805,0.8607
0.729492,0.8472
0.7477898,0.8666
0.7499944,0.8512
0.7596945,0.866
0.7566082,0.8691
0.7548445,0.8821
0.7533013,0.886
0.7550649,0.8816
0.7566082,0.888
0.749774,0.8814
0.7475694,0.8662
0.749333,0.8538
0.7400739,0.8545
0.7233191,0.8486
0.7094303,0.8267
0.7065644,0.8261
0.7081076,0.8419
0.6871642,0.8294
0.6589457,0.8135
0.6496865,0.8093
0.6772437,0.795
0.6871642,0.7776
0.724642,0.8126
0.7630014,0.9026
0.8450114,1.0401
0.8207611,1.0247
0.8284771,1.0479
0.8619865,1.1369
0.8474364,1.1453
0.8679388,1.1711
0.9129121,1.2028
0.9400282,1.217
0.9298873,1.2061
0.9424534,1.2121
0.9446578,1.1828
0.9387055,1.1603
0.9415715,1.1197
0.9159985,1.0278
0.9190849,0.9775
0.9298873,1.0031
0.9296668,0.9833
0.9406896,1.0143
0.9400282,0.9894
0.9400282,1.0183
0.9340759,1.0022
0.928344,0.9927
0.9298873,1.0051
0.9243758,0.9645
0.9190849,0.9431
0.9254781,0.9658
0.9373828,1.0207
0.9296668,0.9905
0.930769,0.9996
0.949508,1.0192
0.9627353,1.0115
0.9647195,1.0377
