"Date","Vehicle Sales","Unemployment Rate"
1976-01-31,885.2,8.8
1976-02-29,994.7,8.7
1976-03-31,1243.6,8.1
1976-04-30,1191.2,7.4
1976-05-31,1203.2,6.8
1976-06-30,1254.7,8
1976-07-31,1162.3,7.8
1976-08-31,1026.1,7.6
1976-09-30,1057.9,7.4
1976-10-31,1129.4,7.2
1976-11-30,1084.4,7.4
1976-12-31,1061.8,7.4
1977-01-31,969.9,8.3
1977-02-28,1092.1,8.5
1977-03-31,1451.1,7.9
1977-04-30,1354.4,6.9
1977-05-31,1377.1,6.4
1977-06-30,1459.8,7.5
1977-07-31,1202,7
1977-08-31,1234.5,6.8
1977-09-30,1104.6,6.6
1977-10-31,1341.3,6.4
1977-11-30,1181.6,6.5
1977-12-31,1090.6,6
1978-01-31,931.3,7.1
1978-02-28,1071.4,6.9
1978-03-31,1480.6,6.6
1978-04-30,1406.5,5.8
1978-05-31,1557.6,5.5
1978-06-30,1549.4,6.2
1978-07-31,1289.2,6.3
1978-08-31,1317.1,5.9
1978-09-30,1103.5,5.8
1978-10-31,1397,5.4
1978-11-30,1248.7,5.6
1978-12-31,1068.5,5.7
1979-01-31,1077.5,6.4
1979-02-28,1148.7,6.4
1979-03-31,1483.8,6.1
1979-04-30,1304.6,5.5
1979-05-31,1373,5.2
1979-06-30,1183.8,6
1979-07-31,1164.4,5.9
1979-08-31,1207.2,5.9
1979-09-30,1029.6,5.7
1979-10-31,1197.6,5.6
1979-11-30,1018.6,5.6
1979-12-31,959.7,5.7
1980-01-31,1042,6.9
1980-02-29,1038.7,6.8
1980-03-31,1141.9,6.6
1980-04-30,946.6,6.7
1980-05-31,893.8,7.1
1980-06-30,932.7,7.8
1980-07-31,1006.6,7.9
1980-08-31,884.2,7.6
1980-09-30,847.4,7.2
1980-10-31,1043.4,7.1
1980-11-30,870.5,7.1
1980-12-31,821.4,6.9
1981-01-31,814.3,8.2
1981-02-28,949.2,8
1981-03-31,1178.8,7.7
1981-04-30,962.9,7
1981-05-31,933.1,7.1
1981-06-30,942.7,7.7
1981-07-31,896.9,7.3
1981-08-31,1009,7.2
1981-09-30,864.8,7.3
1981-10-31,822,7.5
1981-11-30,743,7.9
1981-12-31,673.2,8.3
1982-01-31,714.4,9.4
1982-02-28,840.5,9.6
1982-03-31,1057.3,9.5
1982-04-30,877.2,9.2
1982-05-31,1020.2,9.1
1982-06-30,868.4,9.8
1982-07-31,827.4,9.8
1982-08-31,794,9.6
1982-09-30,891.1,9.7
1982-10-31,840.9,9.9
1982-11-30,971.5,10.4
1982-12-31,839.3,10.5
1983-01-31,789.3,11.4
1983-02-28,821.6,11.3
1983-03-31,1102,10.8
1983-04-30,1012.3,10
1983-05-31,1109.9,9.8
1983-06-30,1205.4,10.2
1983-07-31,1051.7,9.4
1983-08-31,993.1,9.2
1983-09-30,980.4,8.8
1983-10-31,1126,8.4
1983-11-30,1050.2,8.1
1983-12-31,1054,8
1984-01-31,1056.9,8.8
1984-02-29,1158.9,8.4
1984-03-31,1351.5,8.1
1984-04-30,1245.8,7.6
1984-05-31,1451.7,7.2
1984-06-30,1315.9,7.4
1984-07-31,1237.2,7.5
1984-08-31,1129.6,7.3
1984-09-30,1053.4,7.1
1984-10-31,1266.5,7
1984-11-30,1141.1,6.9
1984-12-31,1074.8,7
1985-01-31,1196.6,8
1985-02-28,1210.6,7.8
1985-03-31,1391,7.5
1985-04-30,1380.3,7.1
1985-05-31,1498.9,7
1985-06-30,1332.9,7.5
1985-07-31,1337.6,7.4
1985-08-31,1345.8,6.9
1985-09-30,1463.5,6.9
1985-10-31,1243.2,6.8
1985-11-30,1120.9,6.7
1985-12-31,1198.8,6.7
1986-01-31,1213.8,7.3
1986-02-28,1182.2,7.8
1986-03-31,1297.6,7.5
1986-04-30,1390.1,7
1986-05-31,1530.3,7
1986-06-30,1426.5,7.3
1986-07-31,1378,7
1986-08-31,1344.1,6.7
1986-09-30,1733.6,6.8
1986-10-31,1270.6,6.6
1986-11-30,1119.9,6.6
1986-12-31,1431.1,6.3
1987-01-31,918.9,7.3
1987-02-28,1148.4,7.2
1987-03-31,1381.7,6.9
1987-04-30,1385.3,6.2
1987-05-31,1298.5,6.1
1987-06-30,1419.6,6.3
1987-07-31,1355.8,6.1
1987-08-31,1400.6,5.8
1987-09-30,1300.5,5.7
1987-10-31,1193.2,5.7
1987-11-30,1110.7,5.6
1987-12-31,1249.2,5.4
1988-01-31,1122.5,6.3
1988-02-29,1308.8,6.2
1988-03-31,1505,5.9
1988-04-30,1333.5,5.3
1988-05-31,1455.4,5.4
1988-06-30,1483.1,5.5
1988-07-31,1302.8,5.5
1988-08-31,1317,5.4
1988-09-30,1223.2,5.2
1988-10-31,1249.9,5
1988-11-30,1191.1,5.2
1988-12-31,1285.2,5
1989-01-31,1084.2,6
1989-02-28,1127.3,5.6
1989-03-31,1337.6,5.2
1989-04-30,1354.8,5.1
1989-05-31,1438.4,5
1989-06-30,1329.2,5.5
1989-07-31,1279.1,5.3
1989-08-31,1441.9,5.1
1989-09-30,1263.8,5.1
1989-10-31,1116.9,5
1989-11-30,1047.6,5.2
1989-12-31,1011.9,5.1
1990-01-31,1161.3,6
1990-02-28,1073.4,5.9
1990-03-31,1295.2,5.5
1990-04-30,1226.3,5.3
1990-05-31,1332.1,5.2
1990-06-30,1306.1,5.4
1990-07-31,1244.4,5.6
1990-08-31,1196.9,5.5
1990-09-30,1144.8,5.6
1990-10-31,1169,5.5
1990-11-30,1000.5,5.9
1990-12-31,987.2,6
1991-01-31,839.3,7.1
1991-02-28,927.5,7.3
1991-03-31,1103.1,7.2
1991-04-30,1059.6,6.5
1991-05-31,1174,6.7
1991-06-30,1175.3,7
1991-07-31,1185.2,6.8
1991-08-31,1063,6.6
1991-09-30,1062.2,6.5
1991-10-31,1047.6,6.5
1991-11-30,932.1,6.7
1991-12-31,961.5,6.9
1992-01-31,867.8,8.1
1992-02-29,988.5,8.2
1992-03-31,1128.4,7.8
1992-04-30,1144.9,7.2
1992-05-31,1169.7,7.3
1992-06-30,1297,8
1992-07-31,1158.2,7.7
1992-08-31,1065.2,7.4
1992-09-30,1095.4,7.3
1992-10-31,1132.2,6.9
1992-11-30,988.6,7.1
1992-12-31,1070.7,7.1
1993-01-31,915.3,8
1993-02-28,976.1,7.8
1993-03-31,1228.9,7.4
1993-04-30,1273.5,6.9
1993-05-31,1342.2,6.8
1993-06-30,1383.1,7.2
1993-07-31,1266.9,7
1993-08-31,1158.8,6.6
1993-09-30,1164.6,6.4
1993-10-31,1182.5,6.4
1993-11-30,1140.9,6.2
1993-12-31,1152.7,6.1
1994-01-31,1045.5,7.3
1994-02-28,1170.9,7.1
1994-03-31,1472.2,6.8
1994-04-30,1337.9,6.2
1994-05-31,1382.1,5.9
1994-06-30,1479.6,6.2
1994-07-31,1219.5,6.2
1994-08-31,1329.3,5.9
1994-09-30,1252.1,5.6
1994-10-31,1291.8,5.4
1994-11-30,1197.9,5.3
1994-12-31,1218.9,5.1
1995-01-31,1031.5,6.2
1995-02-28,1128.7,5.9
1995-03-31,1403.3,5.7
1995-04-30,1216,5.6
1995-05-31,1427.5,5.5
1995-06-30,1477.2,5.8
1995-07-31,1255.3,5.9
1995-08-31,1365.2,5.6
1995-09-30,1214.4,5.4
1995-10-31,1226,5.2
1995-11-30,1169.1,5.3
1995-12-31,1202.6,5.2
1996-01-31,1050.6,6.3
1996-02-29,1237.9,6
1996-03-31,1404.4,5.8
1996-04-30,1359.3,5.4
1996-05-31,1522.9,5.4
1996-06-30,1404.2,5.5
1996-07-31,1317.3,5.6
1996-08-31,1333.4,5.1
1996-09-30,1231.4,5
1996-10-31,1296.6,4.9
1996-11-30,1146.4,5
1996-12-31,1151.8,5
1997-01-31,1114.6,5.9
1997-02-28,1177.4,5.7
1997-03-31,1425.9,5.5
1997-04-30,1310.3,4.8
1997-05-31,1435.8,4.7
1997-06-30,1355,5.2
1997-07-31,1376.6,5
1997-08-31,1348.2,4.8
1997-09-30,1238.5,4.7
1997-10-31,1282,4.4
1997-11-30,1146.1,4.3
1997-12-31,1287.7,4.4
1998-01-31,1044.1,5.2
1998-02-28,1173,5
1998-03-31,1405.5,5
1998-04-30,1390.9,4.1
1998-05-31,1543.9,4.2
1998-06-30,1606.6,4.7
1998-07-31,1264.9,4.7
1998-08-31,1265.1,4.5
1998-09-30,1314.4,4.4
1998-10-31,1407.5,4.2
1998-11-30,1176.4,4.1
1998-12-31,1375,4
1999-01-31,1123.7,4.8
1999-02-28,1325.7,4.7
1999-03-31,1580.2,4.4
1999-04-30,1451.7,4.1
1999-05-31,1632.6,4
1999-06-30,1651.4,4.5
1999-07-31,1529,4.5
1999-08-31,1523.6,4.2
1999-09-30,1442.5,4.1
1999-10-31,1396.8,3.8
1999-11-30,1317.2,3.8
1999-12-31,1440.6,3.7
2000-01-31,1239.3,4.5
2000-02-29,1539.3,4.4
2000-03-31,1713,4.3
2000-04-30,1538.9,3.7
2000-05-31,1664.9,3.8
2000-06-30,1662.7,4.1
2000-07-31,1468.6,4.2
2000-08-31,1578.8,4.1
2000-09-30,1506.3,3.8
2000-10-31,1367.7,3.6
2000-11-30,1260.9,3.7
2000-12-31,1271.2,3.7
2001-01-31,1196.3,4.7
2001-02-28,1381.5,4.6
2001-03-31,1627.8,4.5
2001-04-30,1377,4.2
2001-05-31,1635.2,4.1
2001-06-30,1652.2,4.7
2001-07-31,1374.6,4.7
2001-08-31,1478.2,4.9
2001-09-30,1312.5,4.7
2001-10-31,1753.2,5
2001-11-30,1347.9,5.3
2001-12-31,1336.1,5.4
2002-01-31,1129.999,6.3
2002-02-28,1328.755,6.1
2002-03-31,1541.215,6.1
2002-04-30,1471.801,5.7
2002-05-31,1538.496,5.5
2002-06-30,1563.938,6
